index,code,unit,statisticalUnit,description
1994,QS601EW0009,Count,Person,Economically active: Unemployed
1995,QS601EW0010,Count,Person,Economically active: Full-time student
1996,QS601EW0011,Count,Person,Economically inactive: Total
1997,QS601EW0012,Count,Person,Economically inactive: Retired
1998,QS601EW0013,Count,Person,Economically inactive: Student (including full-time students)
1999,QS601EW0014,Count,Person,Economically inactive: Looking after home or family
2000,QS601EW0015,Count,Person,Economically inactive: Long-term sick or disabled
2001,QS601EW0016,Count,Person,Economically inactive: Other
2002,QS602EW0001,Count,Person,All categories: Economic activity
2003,QS602EW0002,Count,Person,Economically active: Total
2004,QS602EW0003,Count,Person,Economically active: Employee: Part-time
2005,QS602EW0004,Count,Person,Economically active: Employee: Full-time
2006,QS602EW0005,Count,Person,Economically active: Self-employed with employees: Part-time
2007,QS602EW0006,Count,Person,Economically active: Self-employed with employees: Full-time
2008,QS602EW0007,Count,Person,Economically active: Self-employed without employees: Part-time
2009,QS602EW0008,Count,Person,Economically active: Self-employed without employees: Full-time
2010,QS602EW0009,Count,Person,Economically active: Unemployed
2011,QS602EW0010,Count,Person,Economically active: Full-time student
2012,QS602EW0011,Count,Person,Economically inactive: Total
2013,QS602EW0012,Count,Person,Economically inactive: Retired
2014,QS602EW0013,Count,Person,Economically inactive: Student (including full-time students)
2015,QS602EW0014,Count,Person,Economically inactive: Looking after home or family
2016,QS602EW0015,Count,Person,Economically inactive: Long-term sick or disabled
2017,QS602EW0016,Count,Person,Economically inactive: Other
2018,QS603EW0001,Count,Person,All categories: Full-time students and economic activity
2019,QS603EW0002,Count,Person,Full-time students: Economically active: In employment
2020,QS603EW0003,Count,Person,Full-time students: Economically active: Unemployed
2021,QS603EW0004,Count,Person,Full-time students: Economically inactive
2022,QS604EW0001,Count,Person,All categories: Hours worked
2023,QS604EW0002,Count,Person,Part-time: Total
2024,QS604EW0003,Count,Person,Part-time: 15 hours or less worked
2025,QS604EW0004,Count,Person,Part-time: 16 to 30 hours worked
2026,QS604EW0005,Count,Person,Full-time: Total
2027,QS604EW0006,Count,Person,Full-time: 31 to 48 hours worked
2028,QS604EW0007,Count,Person,Full-time: 49 or more hours worked
2029,QS605EW0001,Count,Person,All categories: Industry
2030,QS605EW0002,Count,Person,"A Agriculture, forestry and fishing"
2031,QS605EW0003,Count,Person,B Mining and quarrying
2032,QS605EW0004,Count,Person,C Manufacturing
2033,QS605EW0005,Count,Person,"C10-12 Manufacturing: Food, beverages and tobacco"
2034,QS605EW0006,Count,Person,"C13-15 Manufacturing: Textiles, wearing apparel and leather and related products"
2035,QS605EW0007,Count,Person,"C16,17 Manufacturing: Wood, paper and paper products"
2036,QS605EW0008,Count,Person,"C19-22 Manufacturing: Chemicals, chemical products, rubber and plastic"
2037,QS605EW0009,Count,Person,C23-25 Manufacturing: Low tech
2038,QS605EW0010,Count,Person,C26-30 Manufacturing: High tech
2039,QS605EW0011,Count,Person,"C18, 31, 32 Manufacturing: Other"
2040,QS605EW0012,Count,Person,"D Electricity, gas, steam and air conditioning supply"
2041,QS605EW0013,Count,Person,"E Water supply, sewerage, waste management and remediation activities"
2042,QS605EW0014,Count,Person,F Construction
2043,QS605EW0015,Count,Person,G Wholesale and retail trade; repair of motor vehicles and motor cycles
2044,QS605EW0016,Count,Person,H Transport and storage
2045,QS605EW0017,Count,Person,I Accommodation and food service activities
2046,QS605EW0018,Count,Person,J Information and communication
2047,QS605EW0019,Count,Person,K Financial and insurance activities
2048,QS605EW0020,Count,Person,L Real estate activities
2049,QS605EW0021,Count,Person,"M Professional, scientific and technical activities"
2050,QS605EW0022,Count,Person,N Administrative and support service activities
2052,QS605EW0024,Count,Person,P Education
2053,QS605EW0025,Count,Person,Q Human health and social work activities
2054,QS605EW0026,Count,Person,"R,S Arts, entertainment and recreation; other service activities"
2055,QS605EW0027,Count,Person,T Activities of households as employers; undifferentiated goods - and services - producing activities of households for own use
2056,QS605EW0028,Count,Person,U Activities of extraterritorial organisations and bodies
2057,QS606EW0001,Count,Person,All categories: Occupation
2058,QS606EW0002,Count,Person,"Managers, directors and senior officials"
2059,QS606EW0003,Count,Person,"Managers, directors and senior officials;     Corporate managers and directors"
2060,QS606EW0004,Count,Person,"Managers, directors and senior officials;     Corporate managers and directors;         Chief Executives and Senior Officials"
2061,QS606EW0005,Count,Person,"Managers, directors and senior officials;     Corporate managers and directors;         Production Managers and Directors"
2062,QS606EW0006,Count,Person,"Managers, directors and senior officials;     Corporate managers and directors;         Functional Managers and Directors"
2063,QS606EW0007,Count,Person,"Managers, directors and senior officials;     Corporate managers and directors;         Financial Institution Managers and Directors"
2064,QS606EW0008,Count,Person,"Managers, directors and senior officials;     Corporate managers and directors;         Managers and Directors in Transport and Logistics"
2065,QS606EW0009,Count,Person,"Managers, directors and senior officials;     Corporate managers and directors;         Senior Officers in Protective Services"
2066,QS606EW0010,Count,Person,"Managers, directors and senior officials;     Corporate managers and directors;         Health and Social Services Managers and Directors"
2067,QS606EW0011,Count,Person,"Managers, directors and senior officials;     Corporate managers and directors;         Managers and Directors in Retail and Wholesale"
2068,QS606EW0012,Count,Person,"Managers, directors and senior officials;     Other managers and proprietors"
2069,QS606EW0013,Count,Person,"Managers, directors and senior officials;     Other managers and proprietors;         Managers and Proprietors in Agriculture Related Services"
2070,QS606EW0014,Count,Person,"Managers, directors and senior officials;     Other managers and proprietors;         Managers and Proprietors in Hospitality and Leisure Services"
2071,QS606EW0015,Count,Person,"Managers, directors and senior officials;     Other managers and proprietors;         Managers and Proprietors in Health and Care Services"
2072,QS606EW0016,Count,Person,"Managers, directors and senior officials;     Other managers and proprietors;         Managers and Proprietors in Other Services"
2073,QS606EW0017,Count,Person,Professional occupations
2074,QS606EW0018,Count,Person,"Professional occupations;     Science, research, engineering and technology professionals"
2075,QS606EW0019,Count,Person,"Professional occupations;     Science, research, engineering and technology professionals;         Natural and Social Science Professionals"
2076,QS606EW0020,Count,Person,"Professional occupations;     Science, research, engineering and technology professionals;         Engineering Professionals"
2077,QS606EW0021,Count,Person,"Professional occupations;     Science, research, engineering and technology professionals;         Information Technology and Telecommunications Professionals"
2078,QS606EW0022,Count,Person,"Professional occupations;     Science, research, engineering and technology professionals;         Conservation and Environment Professionals"
2079,QS606EW0023,Count,Person,"Professional occupations;     Science, research, engineering and technology professionals;         Research and Development Managers "
2080,QS606EW0024,Count,Person,Professional occupations;     Health professionals
2081,QS606EW0025,Count,Person,Professional occupations;     Health professionals;         Health Professionals
2082,QS606EW0026,Count,Person,Professional occupations;     Health professionals;         Therapy Professionals
2083,QS606EW0027,Count,Person,Professional occupations;     Health professionals;         Nursing and Midwifery Professionals
2084,QS606EW0028,Count,Person,Professional occupations;     Teaching and educational professionals
2085,QS606EW0029,Count,Person,Professional occupations;     Teaching and educational professionals;         Teaching and Educational Professionals
2086,QS606EW0030,Count,Person,"Professional occupations;     Business, media and public service professionals"
2087,QS606EW0031,Count,Person,"Professional occupations;     Business, media and public service professionals;         Legal Professionals"
2088,QS606EW0032,Count,Person,"Professional occupations;     Business, media and public service professionals;         Business, Research and Administrative Professionals"
2089,QS606EW0033,Count,Person,"Professional occupations;     Business, media and public service professionals;         Architects, Town Planners and Surveyors"
2090,QS606EW0034,Count,Person,"Professional occupations;     Business, media and public service professionals;         Welfare Professionals"
2091,QS606EW0035,Count,Person,"Professional occupations;     Business, media and public service professionals;         Librarians and Related Professionals"
2092,QS606EW0036,Count,Person,"Professional occupations;     Business, media and public service professionals;         Quality and Regulatory Professionals"
2093,QS606EW0037,Count,Person,"Professional occupations;     Business, media and public service professionals;         Media Professionals"
2094,QS606EW0038,Count,Person,Associate professional and technical occupations
2095,QS606EW0039,Count,Person,"Associate professional and technical occupations;     Science, engineering and technology associate professionals"
2096,QS606EW0040,Count,Person,"Associate professional and technical occupations;     Science, engineering and technology associate professionals;         Science, Engineering and Production Technicians"
2097,QS606EW0041,Count,Person,"Associate professional and technical occupations;     Science, engineering and technology associate professionals;         Draughtspersons and Related Architectural Technicians"
2142,QS606EW0086,Count,Person,"Caring, leisure and other service occupations"
2195,QS607EW0013,Count,Person,L4.1 Traditional employees
2098,QS606EW0042,Count,Person,"Associate professional and technical occupations;     Science, engineering and technology associate professionals;         Information Technology Technicians"
2099,QS606EW0043,Count,Person,Associate professional and technical occupations;     Health and social care associate professionals
2100,QS606EW0044,Count,Person,Associate professional and technical occupations;     Health and social care associate professionals;         Health Associate Professionals
2101,QS606EW0045,Count,Person,Associate professional and technical occupations;     Health and social care associate professionals;         Welfare and Housing Associate Professionals
2102,QS606EW0046,Count,Person,Associate professional and technical occupations;     Protective service occupations
2103,QS606EW0047,Count,Person,Associate professional and technical occupations;     Protective service occupations;         Protective Service Occupations
2104,QS606EW0048,Count,Person,"Associate professional and technical occupations;     Culture, media and sports occupations"
2105,QS606EW0049,Count,Person,"Associate professional and technical occupations;     Culture, media and sports occupations;         Artistic, Literary and Media Occupations"
2106,QS606EW0050,Count,Person,"Associate professional and technical occupations;     Culture, media and sports occupations;         Design Occupations"
2107,QS606EW0051,Count,Person,"Associate professional and technical occupations;     Culture, media and sports occupations;         Sports and Fitness Occupations"
2108,QS606EW0052,Count,Person,Associate professional and technical occupations;     Business and public service associate professionals
2109,QS606EW0053,Count,Person,Associate professional and technical occupations;     Business and public service associate professionals;         Transport Associate Professionals
2110,QS606EW0054,Count,Person,Associate professional and technical occupations;     Business and public service associate professionals;         Legal Associate Professionals
2111,QS606EW0055,Count,Person,"Associate professional and technical occupations;     Business and public service associate professionals;         Business, Finance and Related Associate Professionals"
2112,QS606EW0056,Count,Person,"Associate professional and technical occupations;     Business and public service associate professionals;         Sales, Marketing and Related Associate Professionals"
2113,QS606EW0057,Count,Person,Associate professional and technical occupations;     Business and public service associate professionals;         Conservation and Environmental associate professionals
2114,QS606EW0058,Count,Person,Associate professional and technical occupations;     Business and public service associate professionals;         Public Services and Other Associate Professionals
2115,QS606EW0059,Count,Person,Administrative and secretarial occupations
2116,QS606EW0060,Count,Person,Administrative and secretarial occupations;     Administrative occupations
2117,QS606EW0061,Count,Person,Administrative and secretarial occupations;     Administrative occupations;         Administrative Occupations: Government and Related Organisations
2118,QS606EW0062,Count,Person,Administrative and secretarial occupations;     Administrative occupations;         Administrative Occupations: Finance
2119,QS606EW0063,Count,Person,Administrative and secretarial occupations;     Administrative occupations;         Administrative Occupations: Records
2120,QS606EW0064,Count,Person,Administrative and secretarial occupations;     Administrative occupations;         Other Administrative Occupations
2121,QS606EW0065,Count,Person,Administrative and secretarial occupations;     Administrative occupations;         Administrative Occupations: Office Managers and Supervisors
2122,QS606EW0066,Count,Person,Administrative and secretarial occupations;     Secretarial and related occupations
2123,QS606EW0067,Count,Person,Administrative and secretarial occupations;     Secretarial and related occupations;         Secretarial and Related Occupations
2124,QS606EW0068,Count,Person,Skilled trades occupations
2125,QS606EW0069,Count,Person,Skilled trades occupations;     Skilled agricultural and related trades
2126,QS606EW0070,Count,Person,Skilled trades occupations;     Skilled agricultural and related trades;         Agricultural and Related Trades
2127,QS606EW0071,Count,Person,"Skilled trades occupations;     Skilled metal, electrical and electronic trades"
2128,QS606EW0072,Count,Person,"Skilled trades occupations;     Skilled metal, electrical and electronic trades;         Metal Forming, Welding and Related Trades"
2129,QS606EW0073,Count,Person,"Skilled trades occupations;     Skilled metal, electrical and electronic trades;         Metal Machining, Fitting and Instrument Making Trades"
2130,QS606EW0074,Count,Person,"Skilled trades occupations;     Skilled metal, electrical and electronic trades;         Vehicle Trades"
2131,QS606EW0075,Count,Person,"Skilled trades occupations;     Skilled metal, electrical and electronic trades;         Electrical and Electronic Trades"
2132,QS606EW0076,Count,Person,"Skilled trades occupations;     Skilled metal, electrical and electronic trades;         Skilled Metal, Electrical and Electronic Trades Supervisors"
2133,QS606EW0077,Count,Person,Skilled trades occupations;     Skilled construction and building trades
2134,QS606EW0078,Count,Person,Skilled trades occupations;     Skilled construction and building trades;         Construction and Building Trades
2135,QS606EW0079,Count,Person,Skilled trades occupations;     Skilled construction and building trades;         Building Finishing Trades
2136,QS606EW0080,Count,Person,Skilled trades occupations;     Skilled construction and building trades;         Construction and Building Trades Supervisors
2137,QS606EW0081,Count,Person,"Skilled trades occupations;     Textiles, printing and other skilled trades"
2138,QS606EW0082,Count,Person,"Skilled trades occupations;     Textiles, printing and other skilled trades;         Textiles and Garments Trades"
2139,QS606EW0083,Count,Person,"Skilled trades occupations;     Textiles, printing and other skilled trades;         Printing Trades"
2140,QS606EW0084,Count,Person,"Skilled trades occupations;     Textiles, printing and other skilled trades;         Food Preparation and Hospitality Trades"
2141,QS606EW0085,Count,Person,"Skilled trades occupations;     Textiles, printing and other skilled trades;         Other Skilled Trades"
2143,QS606EW0087,Count,Person,"Caring, leisure and other service occupations;     Caring personal service occupations"
2144,QS606EW0088,Count,Person,"Caring, leisure and other service occupations;     Caring personal service occupations;         Childcare and Related Personal Services"
2145,QS606EW0089,Count,Person,"Caring, leisure and other service occupations;     Caring personal service occupations;         Animal Care and Control Services"
2146,QS607EW0024,Count,Person,4. Small employers and own account workers
2147,QS606EW0090,Count,Person,"Caring, leisure and other service occupations;     Caring personal service occupations;         Caring Personal Services"
2148,QS606EW0091,Count,Person,"Caring, leisure and other service occupations;     Leisure, travel and related personal service occupations"
2149,QS606EW0092,Count,Person,"Caring, leisure and other service occupations;     Leisure, travel and related personal service occupations;         Leisure and Travel Services"
2150,QS606EW0093,Count,Person,"Caring, leisure and other service occupations;     Leisure, travel and related personal service occupations;         Hairdressers and Related Services"
2151,QS606EW0094,Count,Person,"Caring, leisure and other service occupations;     Leisure, travel and related personal service occupations;         Housekeeping and Related Services"
2152,QS606EW0095,Count,Person,"Caring, leisure and other service occupations;     Leisure, travel and related personal service occupations;         Cleaning and Housekeeping Managers and Supervisors"
2153,QS606EW0096,Count,Person,Sales and customer service occupations
2154,QS606EW0097,Count,Person,Sales and customer service occupations;     Sales occupations
2155,QS606EW0098,Count,Person,Sales and customer service occupations;     Sales occupations;         Sales Assistants and Retail Cashiers
2156,QS606EW0099,Count,Person,Sales and customer service occupations;     Sales occupations;         Sales Related Occupations
2157,QS606EW0100,Count,Person,Sales and customer service occupations;     Sales occupations;         Sales Supervisors
2158,QS606EW0101,Count,Person,Sales and customer service occupations;     Customer service occupations
2159,QS606EW0102,Count,Person,Sales and customer service occupations;     Customer service occupations;         Customer Service Occupations
2160,QS606EW0103,Count,Person,Sales and customer service occupations;     Customer service occupations;         Customer Service Managers and Supervisors
2161,QS606EW0104,Count,Person,"Process, plant and machine operatives"
2162,QS606EW0105,Count,Person,"Process, plant and machine operatives;     Process, plant and machine operatives"
2163,QS606EW0106,Count,Person,"Process, plant and machine operatives;     Process, plant and machine operatives;         Process Operatives"
2164,QS606EW0107,Count,Person,"Process, plant and machine operatives;     Process, plant and machine operatives;         Plant and Machine Operatives"
2165,QS606EW0108,Count,Person,"Process, plant and machine operatives;     Process, plant and machine operatives;         Assemblers and Routine Operatives"
2166,QS606EW0109,Count,Person,"Process, plant and machine operatives;     Process, plant and machine operatives;         Construction Operatives"
2167,QS606EW0110,Count,Person,"Process, plant and machine operatives;     Transport and mobile machine drivers and operatives"
2168,QS606EW0111,Count,Person,"Process, plant and machine operatives;     Transport and mobile machine drivers and operatives;         Road Transport Drivers"
2169,QS606EW0112,Count,Person,"Process, plant and machine operatives;     Transport and mobile machine drivers and operatives;         Mobile Machine Drivers and Operatives"
2170,QS606EW0113,Count,Person,"Process, plant and machine operatives;     Transport and mobile machine drivers and operatives;         Other Drivers and Transport Operatives"
2171,QS606EW0114,Count,Person,Elementary occupations
2172,QS606EW0115,Count,Person,Elementary occupations;     Elementary trades and related occupations
2173,QS606EW0116,Count,Person,Elementary occupations;     Elementary trades and related occupations;         Elementary Agricultural Occupations
2174,QS606EW0117,Count,Person,Elementary occupations;     Elementary trades and related occupations;         Elementary Construction Occupations
2175,QS606EW0118,Count,Person,Elementary occupations;     Elementary trades and related occupations;         Elementary Process Plant Occupations
2176,QS606EW0119,Count,Person,Elementary occupations;     Elementary administration and service occupations
2177,QS606EW0120,Count,Person,Elementary occupations;     Elementary administration and service occupations;         Elementary Administration Occupations
2178,QS606EW0121,Count,Person,Elementary occupations;     Elementary administration and service occupations;         Elementary Cleaning Occupations
2179,QS606EW0122,Count,Person,Elementary occupations;     Elementary administration and service occupations;         Elementary Security Occupations
2180,QS606EW0123,Count,Person,Elementary occupations;     Elementary administration and service occupations;         Elementary Sales Occupations
2181,QS606EW0124,Count,Person,Elementary occupations;     Elementary administration and service occupations;         Elementary Storage Occupations
2182,QS606EW0125,Count,Person,Elementary occupations;     Elementary administration and service occupations;         Other Elementary Services Occupations
2183,QS607EW0001,Count,Person,All categories: NS-SeC
2184,QS607EW0002,Count,Person,"1. Higher managerial, administrative and professional occupations"
2185,QS607EW0003,Count,Person,1.1 Large employers and higher managerial and administrative occupations
2186,QS607EW0004,Count,Person,L1 Employers in large establishments
2187,QS607EW0005,Count,Person,L2 Higher managerial and administrative occupations
2188,QS607EW0006,Count,Person,1.2 Higher professional occupations
2189,QS607EW0007,Count,Person,L3.1 Traditional employees
2190,QS607EW0008,Count,Person,L3.2 New employees
2191,QS607EW0009,Count,Person,L3.3 Traditional self-employed
2192,QS607EW0010,Count,Person,L3.4 New self-employed
2193,QS607EW0011,Count,Person,"2. Lower managerial, administrative and professional occupations"
2194,QS607EW0012,Count,Person,L4 Lower professional and higher technical occupations
2196,QS607EW0014,Count,Person,L4.2 New employees
2197,QS607EW0015,Count,Person,L4.3 Traditional self-employed
2198,QS607EW0016,Count,Person,L4.4 New self-employed
2199,QS607EW0017,Count,Person,L5 Lower managerial and administrative occupations
2200,QS607EW0018,Count,Person,L6 Higher supervisory occupations
2201,QS607EW0019,Count,Person,3. Intermediate occupations
2202,QS607EW0020,Count,Person,L7.1 Intermediate clerical and administrative occupations
2203,QS607EW0021,Count,Person,L7.2 Intermediate sales and service occupations
2204,QS607EW0022,Count,Person,L7.3 Intermediate technical and auxiliary occupations
2205,QS607EW0023,Count,Person,L7.4 Intermediate engineering occupations
2206,QS607EW0025,Count,Person,L8 Employers in small establishments
2207,QS607EW0026,Count,Person,"L8.1 Employers in small establishments in industry, commerce, services etc."
2208,QS607EW0027,Count,Person,L8.2 Employers in small establishments in agriculture
2209,QS607EW0028,Count,Person,L9 Own account workers
2210,QS607EW0029,Count,Person,L9.1 Own account workers (non-professional)
2211,QS607EW0030,Count,Person,L9.2 Own account workers (agriculture)
2212,QS607EW0031,Count,Person,5. Lower supervisory and technical occupations
2213,QS607EW0032,Count,Person,L10 Lower supervisory occupations
2214,QS607EW0033,Count,Person,L11 Lower technical occupations
2215,QS607EW0034,Count,Person,L11.1 Lower technical craft occupations
2216,QS607EW0035,Count,Person,L11.2 Lower technical process operative occupations
2217,QS607EW0036,Count,Person,6. Semi-routine occupations
2218,QS607EW0037,Count,Person,L12.1 Semi-routine sales occupations
2219,QS607EW0038,Count,Person,L12.2 Semi-routine service occupations
2220,QS607EW0039,Count,Person,L12.3 Semi-routine technical occupations
2221,QS607EW0040,Count,Person,L12.4 Semi-routine operative occupations
2222,QS607EW0041,Count,Person,L12.5 Semi-routine agricultural occupations
2223,QS607EW0042,Count,Person,L12.6 Semi-routine clerical occupations
2224,QS607EW0043,Count,Person,L12.7 Semi-routine childcare occupations
2225,QS607EW0044,Count,Person,7. Routine occupations
2226,QS607EW0045,Count,Person,L13.1 Routine sales and service occupations
2227,QS607EW0046,Count,Person,L13.2 Routine production occupations
2228,QS607EW0047,Count,Person,L13.3 Routine technical occupations
2229,QS607EW0048,Count,Person,L13.4 Routine operative occupations
2230,QS607EW0049,Count,Person,L13.5 Routine agricultural occupations
2231,QS607EW0050,Count,Person,8. Never worked and long-term unemployed
2232,QS607EW0051,Count,Person,L14.1 Never worked
2233,QS607EW0052,Count,Person,L14.2 Long-term unemployed
2234,QS607EW0053,Count,Person,Not classified
2235,QS607EW0054,Count,Person,L15 Full-time students
2236,QS607EW0055,Count,Person,L17 Not classifiable for other reasons
2237,QS608EW0001,Count,Person,All categories: NS-SeC of Household Reference Person
2238,QS608EW0002,Count,Person,"1. Higher managerial, administrative and professional occupations"
2239,QS608EW0003,Count,Person,1.1 Large employers and higher managerial and administrative occupations
2240,QS608EW0004,Count,Person,L1 Employers in large establishments
2241,QS608EW0005,Count,Person,L2 Higher managerial and administrative occupations
2242,QS608EW0006,Count,Person,1.2 Higher professional occupations
2243,QS608EW0007,Count,Person,L3.1 Traditional employees
2244,QS608EW0008,Count,Person,L3.2 New employees
2245,QS608EW0009,Count,Person,L3.3 Traditional self-employed
2246,QS608EW0010,Count,Person,L3.4 New self-employed
2247,QS608EW0011,Count,Person,"2. Lower managerial, administrative and professional occupations"
2248,QS608EW0012,Count,Person,L4 Lower professional and higher technical occupations
2249,QS608EW0013,Count,Person,L4.1 Traditional employees
2250,QS608EW0014,Count,Person,L4.2 New employees
2251,QS608EW0015,Count,Person,L4.3 Traditional self-employed
2252,QS608EW0016,Count,Person,L4.4 New self-employed
2253,QS608EW0017,Count,Person,L5 Lower managerial and administrative occupations
2254,QS608EW0018,Count,Person,L6 Higher supervisory occupations
2255,QS608EW0019,Count,Person,3. Intermediate occupations
2256,QS608EW0020,Count,Person,L7.1 Intermediate clerical and administrative occupations
2257,QS608EW0021,Count,Person,L7.2 Intermediate sales and service occupations
2258,QS608EW0022,Count,Person,L7.3 Intermediate technical and auxiliary occupations
2259,QS608EW0023,Count,Person,L7.4 Intermediate engineering occupations
2260,QS608EW0024,Count,Person,4. Small employers and own account workers
2261,QS608EW0025,Count,Person,L8 Employers in small establishments
2262,QS608EW0026,Count,Person,"L8.1 Employers in small establishments in industry, commerce, services etc."
2263,QS608EW0027,Count,Person,L8.2 Employers in small establishments in agriculture
2264,QS608EW0028,Count,Person,L9 Own account workers
2265,QS608EW0029,Count,Person,L9.1 Own account workers (non-professional)
2266,QS608EW0030,Count,Person,L9.2 Own account workers (agriculture)
2267,QS608EW0031,Count,Person,5. Lower supervisory and technical occupations
2268,QS608EW0032,Count,Person,L10 Lower supervisory occupations
2269,QS608EW0033,Count,Person,L11 Lower technical occupations
2270,QS608EW0034,Count,Person,L11.1 Lower technical craft occupations
2271,QS608EW0035,Count,Person,L11.2 Lower technical process operative occupations
2272,QS608EW0036,Count,Person,6. Semi-routine occupations
2273,QS608EW0037,Count,Person,L12.1 Semi-routine sales occupations
2274,QS608EW0038,Count,Person,L12.2 Semi-routine service occupations
2275,QS608EW0039,Count,Person,L12.3 Semi-routine technical occupations
2276,QS608EW0040,Count,Person,L12.4 Semi-routine operative occupations
2277,QS608EW0041,Count,Person,L12.5 Semi-routine agricultural occupations
2278,QS608EW0042,Count,Person,L12.6 Semi-routine clerical occupations
2279,QS608EW0043,Count,Person,L12.7 Semi-routine childcare occupations
2280,QS608EW0044,Count,Person,7. Routine occupations
2281,QS608EW0045,Count,Person,L13.1 Routine sales and service occupations
2282,QS608EW0046,Count,Person,L13.2 Routine production occupations
2283,QS608EW0047,Count,Person,L13.3 Routine technical occupations
2284,QS608EW0048,Count,Person,L13.4 Routine operative occupations
2285,QS608EW0049,Count,Person,L13.5 Routine agricultural occupations
2286,QS608EW0050,Count,Person,8. Never worked and long-term unemployed
2287,QS608EW0051,Count,Person,L14.1 Never worked
2288,QS608EW0052,Count,Person,L14.2 Long-term unemployed
2289,QS608EW0053,Count,Person,Not classified
2290,QS608EW0054,Count,Person,L15 Full-time students
2291,QS608EW0055,Count,Person,L17 Not classifiable for other reasons
2292,QS609EW0001,Count,Person,All categories: NS-SeC of Household Reference Person
2293,QS609EW0002,Count,Person,"1. Higher managerial, administrative and professional occupations"
2294,QS609EW0003,Count,Person,1.1 Large employers and higher managerial and administrative occupations
2295,QS609EW0004,Count,Person,L1 Employers in large establishments
2296,QS609EW0005,Count,Person,L2 Higher managerial and administrative occupations
2297,QS609EW0006,Count,Person,1.2 Higher professional occupations
2298,QS609EW0007,Count,Person,L3.1 Traditional employees
2299,QS609EW0008,Count,Person,L3.2 New employees
2300,QS609EW0009,Count,Person,L3.3 Traditional self-employed
2301,QS609EW0010,Count,Person,L3.4 New self-employed
2302,QS609EW0011,Count,Person,"2. Lower managerial, administrative and professional occupations"
2303,QS609EW0012,Count,Person,L4 Lower professional and higher technical occupations
2304,QS609EW0013,Count,Person,L4.1 Traditional employees
2305,QS609EW0014,Count,Person,L4.2 New employees
2306,QS609EW0015,Count,Person,L4.3 Traditional self-employed
2307,QS609EW0016,Count,Person,L4.4 New self-employed
2308,QS609EW0017,Count,Person,L5 Lower managerial and administrative occupations
2309,QS609EW0018,Count,Person,L6 Higher supervisory occupations
2310,QS609EW0019,Count,Person,3. Intermediate occupations
2311,QS609EW0020,Count,Person,L7.1 Intermediate clerical and administrative occupations
2312,QS609EW0021,Count,Person,L7.2 Intermediate sales and service occupations
2313,QS609EW0022,Count,Person,L7.3 Intermediate technical and auxiliary occupations
2314,QS609EW0023,Count,Person,L7.4 Intermediate engineering occupations
2315,QS609EW0024,Count,Person,4. Small employers and own account workers
2316,QS609EW0025,Count,Person,L8 Employers in small establishments
2317,QS609EW0026,Count,Person,"L8.1 Employers in small establishments in industry, commerce, services etc."
2318,QS609EW0027,Count,Person,L8.2 Employers in small establishments in agriculture
2319,QS609EW0028,Count,Person,L9 Own account workers
2320,QS609EW0029,Count,Person,L9.1 Own account workers (non-professional)
2321,QS609EW0030,Count,Person,L9.2 Own account workers (agriculture)
2322,QS609EW0031,Count,Person,5. Lower supervisory and technical occupations
2323,QS609EW0032,Count,Person,L10 Lower supervisory occupations
2324,QS609EW0033,Count,Person,L11 Lower technical occupations
2325,QS609EW0034,Count,Person,L11.1 Lower technical craft occupations
2326,QS609EW0035,Count,Person,L11.2 Lower technical process operative occupations
2327,QS609EW0036,Count,Person,6. Semi-routine occupations
2328,QS609EW0037,Count,Person,L12.1 Semi-routine sales occupations
2329,QS609EW0038,Count,Person,L12.2 Semi-routine service occupations
2330,QS609EW0039,Count,Person,L12.3 Semi-routine technical occupations
2331,QS609EW0040,Count,Person,L12.4 Semi-routine operative occupations
2332,QS609EW0041,Count,Person,L12.5 Semi-routine agricultural occupations
2333,QS609EW0042,Count,Person,L12.6 Semi-routine clerical occupations
2334,QS609EW0043,Count,Person,L12.7 Semi-routine childcare occupations
2335,QS609EW0044,Count,Person,7. Routine occupations
2336,QS609EW0045,Count,Person,L13.1 Routine sales and service occupations
2337,QS609EW0046,Count,Person,L13.2 Routine production occupations
2338,QS609EW0047,Count,Person,L13.3 Routine technical occupations
2339,QS609EW0048,Count,Person,L13.4 Routine operative occupations
2340,QS609EW0049,Count,Person,L13.5 Routine agricultural occupations
2341,QS609EW0050,Count,Person,8. Never worked and long-term unemployed
2342,QS609EW0051,Count,Person,L14.1 Never worked
2343,QS609EW0052,Count,Person,L14.2 Long-term unemployed
2344,QS609EW0053,Count,Person,Not classified
2345,QS609EW0054,Count,Person,L15 Full-time students
2346,QS609EW0055,Count,Person,L17 Not classifiable for other reasons
2347,QS610EW0001,Count,Person,All categories: NS-SeC of Household Reference Person
2348,QS610EW0002,Count,Person,"1. Higher managerial, administrative and professional occupations"
2349,QS610EW0003,Count,Person,1.1 Large employers and higher managerial and administrative occupations
2350,QS610EW0004,Count,Person,L1 Employers in large establishments
2351,QS610EW0005,Count,Person,L2 Higher managerial and administrative occupations
2352,QS610EW0006,Count,Person,1.2 Higher professional occupations
2353,QS610EW0007,Count,Person,L3.1 Traditional employees
2354,QS610EW0008,Count,Person,L3.2 New employees
2355,QS610EW0009,Count,Person,L3.3 Traditional self-employed
2356,QS610EW0010,Count,Person,L3.4 New self-employed
2357,QS610EW0011,Count,Person,"2. Lower managerial, administrative and professional occupations"
